# Авторитетный указатель фидов BYDAutoFeatureIds.
# Источник: feature_ids_catalog.json, sha256 80f8c7b0a9d14707b0ea2bf8938fa09931b8f8bf9afcab9754d8b23b3b2530a4
# Групп 51, полей 6699, уникальных значений 3480.
# Строка: 0xФИД имя[ имя ...]. Одно значение может носить
# несколько имён — каталог перечисляет их через пробел.
0x0005EB22 BODYWORK_ONLINE_HAS_0x03D95B
0x0005EC01 ADAS_AEB_ACTIVE
0x0005F111 BODYWORK_ONLINE_HAS_0x04A503
0x0005F447 CHARGING_APPOINTMENT_CAR_MINUTE
0x0005F4A2 CHARGING_MAX_CHARGE_VOLTAGE_ALLOWED
0x0005F84D STATISTIC_BATTERY_HEALTHY_INDEX
0x0005FECD AC_REAR_CONTROL_PANEL_FLAG
0x00060754 ADAS_HAS_HMA
0x00060B17 BODYWORK_ONLINE_HAS_0x03D959
0x00060B20 BODY_RIGHT_REARVIEW_MIRROR_HORIZONTAL_POSITION_SET
0x00061C33 CHARGING_VTOV_DISCHARGE_DURATION
0x00062100 DOOR_LOCK_COMMAND_AREA_CHILDLOCK_LEFT_SET
0x0006219C INSTRUMENT_DD_FAULT_BREAKHOLD_PLEASE_CLOSE_DOOR
0x0006221E BODYWORK_EMERGENCY_ALARM_STATE
0x000622F2 SET_MAX_EV_MEMORY_GUIDE_STATE
0x0006232D RSE_R_RHYTHM_COLOR2_SET
0x00062686 ENERGY_HIGH_SIDE_CURRENT
0x00062A26 BODYWORK_ONLINE_HAS_0x029400
0x00062BD1 SET_USE_AUDIO_SCENE_SET
0x000633AD RSE_IVI_HOTSPOT_ENCRYPTION_TO_RSE_SET
0x00063569 POWER_BATTERY_MANAGER_TYPE
0x0006366D ENERGY_THERMAL_MANAGER_SYS_CMD
0x00063F4D CHARGING_DISCHARGE_VEHICLE_OUTPUT_VOLTAGE
0x0006403E SET_SETTING_MEMORY_GUIDE_STATE_SET
0x0006411A AUDIO_SOUND_FIELD_FOCUS_SET_SET
0x00064814 SET_GAME_AC_RELATED_STATE_SET
0x0006553B INSTRUMENT_REGISTER_APPLE_KEY_SET
0x00065910 AUDIO_INCAR_COMMUNICATE_VOLUME_SET
0x00065AB3 BODYWORK_ONLINE_HAS_0x04A504
0x00066897 CHARGING_VTOV_DISCHARGE_ENDING_REASON
0x00066D86 ADAS_ECTB_STATE_SET
0x00067155 ENGINE_HAS_ENGINE_VOICE_SIMULATOR
0x00067C8D CHARGING_APPOINTMENT_START_TIME_MINUTE_SET
0x00068342 INSTRUMENT_DD_FAULT_LOW_BRAKE_FLUID_LEVEL
0x00068573 SET_GAME_HFEELING_SETTING_2nd
0x000686A9 PHONE_INFO_ST_SET
0x00068C38 AUDIO_TREBLE_STATE
0x00068F9E ONLINE_HAS_0x03CD00
0x00068FD2 RSE_R_VOLUME_TO_PAD_SET
0x000695E2 AC_THE_FIRST_PERFUME_SURPLUS
0x00069706 POWER_PAD_RESET_SET
0x00069E65 CHARGING_APPOINTMENT_CAR_HOUR
0x0006A408 STATISTIC_REMAINING_BATTERY_POWER
0x0006A5E4 FS_COND_UPGRADE
0x0006AF1B TYRE_BATTERY_VALUE_RIGHT_FRONT
0x0006B02B SET_GAME_AC_RELATED_STATE
0x0006B14B RSE_IVI_MAC_TO_RSE_SET
0x0006B432 RSE_IVI_ALLOW_FOLLOW_LINK_TO_RSE_SET
0x0006B51F RADAR_SOUND_STATE_SET
0x0006BA4E CHARGING_CHARGE_VEHICLE_NEEDED_CURRENT
0x0006BB88 SETTING_UI_PLATFORM_SET
0x0006BF8F RSE_IVI_HOTSPOT_RESET_TO_RSE_SET
0x0006C3A4 FS_VER
0x0006CC7A ENERGY_ROAD_SURFACE_KIND
0x0006CCA4 CHARGING_SINGLE_BATTERY_MAX_VOLTAGE
0x0006CE05 STATISTIC_LOWEST_BATTERY_VOLTAGE
0x0006D037 ENERGY_MODE_SET
0x0006D769 SET_CAR_AUTO_PANORAMA
0x0006D9E1 AUDIO_TREBLE_SET_SET
0x0006DAE6 BODY_DRIVER_SEAT_LEGHOLDER_POSITION_SET
0x0006DDA4 ADAS_RCTA_STATE_SET
0x0006E461 BODYWORK_ONLINE_HAS_0x034200
0x0006E58A SET_DR_CHARGER_PORT_2nd
0x0006E5AB INSTRUMENT_DD_TIME_INTERVAL_STATE
0x0006E9C5 AUDIO_NAVIGA_SOUND_SOURCE_STATE
0x0006F235 SET_AFS_STATE
0x0006FD0E CHARGING_APPOINTMENT_END_TIME_MONTH_SET
0x0006FDAD VERSION_INSTRUMENT
